van_ban,phu_luc,nhom,muc_cha,stt,ma_hs,mo_ta
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,30,,- Tali:
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,31,8112.52.00,- - Phế liệu và mảnh vụn
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,32,,- Cađimi:
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,33,8112.61.00,- - Phế liệu và mảnh vụn
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,34,8113.00.00,"Gốm kim loại và các sản phẩm làm từ gốm kim loại, kể cả phế liệu và mảnh vụn"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,1,3918,"Tấm trải sàn bằng plastic, có hoặc không tự dính, dạng cuộn hoặc dạng tấm rời để ghép; tấm phủ tường hoặc phủ trần bằng plastic, như đã nêu trong Chú giải 9 của Chương này"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,2,3922,"Bồn tắm, bồn tắm vòi sen, bồn rửa, chậu rửa, bệ rửa vệ sinh (bidets), bệ và nắp xí bệt, bình xả nước và các thiết bị vệ sinh tương tự, bằng plastic"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,3,3924,"Bộ đồ ăn, bộ đồ dùng nhà bếp, các sản phẩm gia dụng khác và các sản phẩm phục vụ vệ sinh, bằng plastic"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,4,3925,"Đồ vật bằng plastic dùng trong xây lắp, chưa được chi tiết hoặc ghi ở nơi khác"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,5,3926,Các sản phẩm khác bằng plastic và các sản phẩm bằng các vật liệu khác của các nhóm từ 39.01 đến 39.14
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,6,,"- Găng tay, găng tay hở ngón và găng bao tay:"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,7,4015.19,- - Loại khác
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,8,4016.99.91,- - - - Khăn trải bàn
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,9,4016.99.99,- - - - Loại khác
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,10,4201.00.00,"Yên cương và bộ yên cương dùng cho các loại động vật (kể cả dây kéo, dây dắt, miếng đệm đầu gối, đai hoặc rọ bịt mõm, vải lót yên, túi yên, áo chó và các loại tương tự), làm bằng vật liệu bất kỳ"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,11,4202,"Hòm, vali, xắc đựng đồ nữ trang, cặp tài liệu, cặp sách, túi, cặp đeo vai cho học sinh, bao kính, bao ống nhòm, hộp camera, hộp nhạc cụ, bao súng, bao súng ngắn và các loại đồ chứa tương tự; túi du lịch, túi đựng đồ ăn hoặc đồ uống có phủ lớp cách, túi đựng đồ vệ sinh cá nhân, ba lô, túi xách tay, túi đi chợ, xắc cốt, ví, túi đựng bản đồ, hộp đựng thuốc lá điếu, hộp đựng thuốc lá sợi, túi đựng dụng cụ, túi thể thao, túi đựng chai rượu, hộp đựng đồ trang sức, hộp đựng phấn, hộp đựng dao kéo và các loại đồ chứa tương tự bằng da thuộc hoặc da thuộc tổng hợp, bằng tấm plastic, bằng vật liệu dệt, bằng sợi lưu hóa hoặc bằng bìa, hoặc được phủ toàn bộ hoặc chủ yếu bằng các vật liệu trên hoặc bằng giấy"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,12,4203,"Hàng may mặc và đồ phụ trợ quần áo, bằng da thuộc hoặc bằng da thuộc tổng hợp"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,13,4303,"Hàng may mặc, đồ phụ trợ quần áo và các vật phẩm khác bằng da lông"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,14,4304,Da lông nhân tạo và các sản phẩm làm bằng da lông nhân tạo
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,15,4414,"Khung tranh, khung ảnh, khung gương bằng gỗ hoặc các sản phẩm bằng gỗ tương tự"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,16,4419,"Bộ đồ ăn và bộ đồ làm bếp, bằng gỗ"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,17,4420,"Gỗ khảm và dát; tráp và các loại hộp đựng đồ trang sức hoặc dựng dao kéo, và các sản phẩm tương tự, bằng gỗ; tượng nhỏ và đồ trang trí khác, bằng gỗ; các loại đồ nội thất bằng gỗ không thuộc Chương 94"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,18,4421,Các sản phẩm bằng gỗ khác
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,19,Chương 46,Toàn bộ Chương 46
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,20,4814.20,"- Giấy dán tường và các loại tấm phủ tường tương tự, bao gồm giấy đã được tráng hoặc phủ, trên bề mặt, bằng một lớp plastic có hạt nổi, rập nổi, nhuộm màu, in hình hoặc trang trí cách khác"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,21,,"- Khay, bát, đĩa, cốc, chén và các sản phẩm tương tự, bằng giấy hoặc bìa:"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,22,4823.61.00,- - Từ tre (bamboo)
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,23,4823.69.00,- - Loại khác
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,24,4823.90.70,- - Quạt và màn che kéo bằng tay
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,25,5007,Vải dệt thoi dệt từ tơ tằm hoặc từ phế liệu tơ tằm
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,26,5111,Vải dệt thoi từ sợi len lông cừu chải thô hoặc từ sợi lông động vật loại mịn chải thô
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,27,5112,Vải dệt thoi từ sợi len lông cừu chải kỹ hoặc sợi từ lông động vật loại mịn chải kỹ
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,28,5113.00.00,Vải dệt thoi từ sợi lông động vật loại thô hoặc sợi lông đuôi hoặc bờm ngựa
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,29,5208,"Vải dệt thoi từ bông, có hàm lượng bông chiếm từ 85% trở lên tính theo khối lượng, định lượng không quá 200 g/m 2"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,30,5209,"Vải dệt thoi từ bông, có hàm lượng bông chiếm từ 85% trở lên tính theo khối lượng, định lượng trên 200 g/m 2"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,31,5210,"Vải dệt thoi từ bông, có hàm lượng bông chiếm dưới 85% tính theo khối lượng, pha chủ yếu hoặc pha duy nhất với xơ sợi nhân tạo, có định lượng không quá 200 g/m 2"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,32,5211,"Vải dệt thoi từ bông, có hàm lượng bông chiếm dưới 85% tính theo khối lượng, pha chủ yếu hoặc pha duy nhất với xơ sợi nhân tạo, có định lượng trên 200 g/m 2"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,33,5212,Vải dệt thoi khác từ bông
